Id,Service,Countries,URL,Category,Focus keywords / tags,Genre,Available in countries,Language(s),Supported devices,Business model,Price_Month,Current owner,Nr of subscibers,Head- quarters,Logos
,Zee 5,India,https://www.zee5.com/,Movies & TV Shows,"Hindi TV shows, Hindi movies, Hindi comedy movies, Bollywood blockbusters, Live news, Hindi videos, Hits,Hindi music videos, Hindi trailers","Only On ZEE5, March Birthday Bash, Hindi Romantic Movies, Kahani Mein Twist, Premium Bollywood Blockbusters, Hindi Comedy Movies, Akshay Kumar Movies, Amitabh Bachchan Movies, Popular Bollywood Movies, Must-watch Tamil Movies, Popular Tamil Movies, Marathi Movies Only on ZEE5, Popular Marathi Movies, Must-watch Telugu Movies, Bangla Premium Blockbusters, Popular Bangla Movies, ZEE5 Original Movies in Bangla, Food Movies | Bangla, Superstar Jeet Movies, Action Adventure, Watch With Family, Comic Capers, Thriller Movies, Shades of Women, Stars of the Golden Era, South Dubbed Action, Hindi Horror Movies, Hindi Action Movies, Hindi Drama Movies, Hindi Crime movies, Hindi Thriller Movies, Hindi Movies 2018",I have the location info,"English, Hindi, Bengali, Malayalam, Tamil, Telugu, Kannada, Marathi, Bhojpuri, Gujarati, Punjabi ","Smartphones and tablets, Smart TVs",sVOD,"USD 44.99 For 1 Year All Access - 25% Saving, USD 4.99 For 1 Month Early Bird Monthly Pack, USD 22.99 For 1 Year Tamil Annual Access Pack, USD 2.99 For 1 Month Tamil Monthly Access Pack",Zee Entertainment Enterprises; (Essel Group),-,"Mumbai, India",-
,Hulu,"India, USA",https://www.hulu.com,Movies & TV Shows,"award willing TV shows, popular movies of every genre, documentaries, cartoons","Drama, Romance, Comedy, Comedy-Drama, Historical drama, Thriller, Horror, Fantasy, Buddy cop, Crime film, Science fiction, Action, Music, Mistery, Psychological thriller, War, Romantic comedy, Sports, TV Shows, Cartoons",I have the location info,"English","Apple devices, Smart TVs, Smartphones, Tablets, Xbox, Playstation, Computer, Laptop",sVOD,"Hulu Plan $5.99, Hulu (No Ads) Plan $11.99, Hulu + Live TV Plan $54.99, Hulu (No Ads) + Live TV Plan $60.99","The Walt Disney Company (67% equity; full control), Comcast (33% equity; silent partner)","28.5 million, 2.7 million (Hulu with Live TV)","2500 Broadway 2nd Floor, Santa Monica, California, United States",https://i.imgur.com/2yWI925.png
,Viu,"Hong Kong,India,Indonesia,Malaysia,Mongolia,Philippines,Singapore,Thailand,Belarus",https://www.viu.com/,Niche content,"korean Dramas, korean movies, korean series","Action & Adventure, Animation, Comedy, Crime, Documentary, Drama, Fantasy, History, Horror, Kids & Family, Music & Musical, Mystery & Thriller, Romance, Science-Fiction, Sport, War & Military, Western, Made in Europe",I have the location info,"English, Chinese, Arabic, Malaysian, Indonesian, Burmese, Hindi, Bangla, Tamil, Telugu, Thai","Smartphones and tablets, Smart TVs",sVOD,"For Postpaid Subscribers: P49, P99. For Prepaid Subscribers: P29, P50, P99",PCCW Media Group,30 million monthly active users (monthly),Hong Kong,https://i.imgur.com/Tl8r1qu.png
,Lightbox,New Zealand,https://www.lightbox.co.nz/,Movies & TV Shows,"popular movies of every genre, popular TV shows, esports","Crime, Comedy, Drama, Action, Factual TV, Kids, New Zealand, Sci-Fi and Fantasy, Kids and Family, Thriller",I have the location info,English,"Apple devices, Smart Tvs, Smartphones, Playstation, Laptop, Computer",sVOD,"The Standard Plan: $12.99/month, The Premium Plan: $15.99/month",Sky Network Television Limited,"355,000 subscribers","Auckland, New Zealand",https://i.imgur.com/f8DCcSR.png
,HOOQ,"India,Indonesia,Laos,Philippines,Singapore,Thailand,Vietnam",https://www.hooq.tv/,Movies & TV Shows,"hollywood movies, popular tv shows, indian series","Crime, Comedy, Drama, Action, Factual TV, Kids, New Zealand, Sci-Fi and Fantasy, Kids and Family, Thriller",I have the location info,"Singapore, Philippines, Thailand, India, Indonesia","computers, smartphones tablets and smart TVs ",sVOD,Rs. 89 ,"Sony Pictures, Warner Bros., Singtel",150 million subscribers,Singapore,https://i.imgur.com/uUQdJPh.png
,Tving,South Korea,http://www.tving.com/main.do,Niche content,"korean Dramas, korean movies, korean series, korean videos, teabing movies, live tv, sports, entertaiment","Drama, Entertainment, Overseas series, Digital original, Culture, Kids, Anime, Sports ",I have the location info,"English, Korean","Smartphones and tablets, Smart TVs, Laptop, Computer",sVOD,-,CJ ENM E&M Division,7 million registered users,"66 Sangamsan-ro, Sangam-dong, Mapo-gu, Seoul, South Korea",https://i.imgur.com/oSwZoGu.png
,Catchplay,"Indonesia,Singapore,Taiwan",https://www.catchplay.com/,Movies & TV Shows,"popular movies, chinese drama, TV shows","Action/Adventure, Comedy, Drama",I have the location info,"English, Korean","Smart TVs, smartphones, tablets",sVOD,"Newer releases S$6, Subscribed users S$14.90.",CatchPlay Media Holding Company,one million subscribers,"Taipei, Taiwan",-
,Disney+,"Albania,Belarus,Bosnia,Bulgaria,Croatia,Cyprus,Czech Republic,Estonia,Greece,Hungary,Latvia,Lithuania,Macedonia,Moldova,Montenegro,Poland,Romania,Russia,Serbia,Slovakia,Slovenia,Ukraine,Canada,USA ,Austria,Belgium,Denmark,Finland,France,Germany,Iceland,Ireland,Italy,Luxembourg,Malta,Netherlands,Norway,Portugal,Spain,Sweden,Switzerland,UK",https://preview.disneyplus.com/,Movies & TV Shows,"television, publishing, films, music, video games, amusement parks, broadcasting, radio, web portals","Musical/mockumentary, Space Western	, Comedy, Docuseries, Reality competition, DIY, Animation, Hidden camera reality, Animation/Space opera, Animated comedy, Anime, Animation Adventure, Superhero action, Superhero sitcom/drama, Animation/Fantasy, Superhero science fiction, Animation/Superhero/Anthology, Space opera, Superhero action, Dramedy, Romantic fantasy, Comedy-Action, Game show, Talk show/Puppetry, Docuseries, Reality, Travel shows, TBA, Fantasy, Comedy-Action",I have the location info,"Arabic, Brazilian, Portuguese, Bulgarian, Canadian French, Cantonese Chinese, Castilian Spanish, Catalan, Croatian, Czech, Danish, Dutch, English, Estonian, European French, European Portuguese, Finnish, Flemish, German, Greek, Hebrew, Hindi, Hungarian, Icelandic, Indonesian, Italian, Japanese, Kazakh, Korean, Latin American Spanish, Latvian, Lithuanian, Malaysian, Mandarin Chinese (China), Mandarin Chinese (Taiwan), Norwegian, Polish, Romanian, Russian, Serbian, Slovak, Slovene, Swedish, Thai, Turkish, Ukrainian, Vietnamese","Smart TVs (LG WebOS, Samsung Tizen, Android TV, Vizio SmartCast, Roku TV) Boxes and game consoles (Apple TV 4th Gen and later, PlayStation 4, Roku, Xbox One) Streaming devices (Chromebook, Chromecast, Apple AirPlay, Amazon Fire TV)",sVOD,6.99,Disney,28.6 million,"Walt Disney Studios, Burbank, California, United States",https://i.imgur.com/zSNdTqg.png
,Okko,Russia,https://okko.tv/,Movies & TV Shows,"world blockbusters, Russian movie hits, cult TV shows, animation from Disney and educational animated series in Full HD","Anime, Arthouse, Biographies, Militants, War movie, Detectives, Documentary, Dramas, Historical cinema, Comedies, Short meter, Crime movie, Melodrama, Musical cinema, Cartoons, Adventures, Family movie, Sports, Theater, Thrillers, Horror, Fantasy",I have the location info,Russian,"computer, smartphone, tablet, Smart TV or PlayStation",sVOD,"Light package - 99 rub, Optimum package - 399 rub, Premium package - 799 rub.",Concern Galnaftogaz,18.19 million ,Atlantic-City business center in St. Petersburg.,https://i.imgur.com/YvcQPJi.png
,Blim,"Argentina,Bolivia,Chile,Colombia,Costa Rica,Ecuador,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,Paraguay,Peru,Uruguay,Venezuela",http://www.blim.com/,Movies & TV Shows,"spanish series, drama series, spanish tv shows, spanish movies, mexican classics","Black comedy, Comedy, Drama, Fairy tale, Drama Suspense, Suspense",I have the location info,Mexican,"computer, smartphone, tablet, Smart TVs. Chromecast, Roku, Playstation, Xbox",sVOD,"1 month - $ 109.00, 3 months - $ 289.00, 6 months - $ 549.00",Televisa S.A. de C.V,7 million subscribers,"Mexico City, Mexico",-
,Claro Video,"Argentina,Brazil,Chile,Colombia,Costa Rica,Dominican Republic,Ecuador,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,Paraguay,Peru,Uruguay",http://www.clarovideo.com/,Movies & TV Shows,"popular movies, tv shows, kids programme, cartoons, blockbusters, comedy, series","Telenovelas, Comedy, Cartoons, Crime",I have the location info,Latinoamerican languages,"tablets and phones, Xbox One and 360 game consoles, Smart TVs, Claro player, Apple TV and Chromecast.",sVOD,Mx$ 69 (USD 3.70),Claro,2.2 million,"Doral, FL",-
,HBO,"Bosnia,Bulgaria,Croatia,Czech Republic,Hungary,Macedonia,Montenegro,Poland,Romania,Serbia,Slovakia,Slovenia,Argentina,Bolivia,Brazil,Chile,Colombia,Costa Rica,Dominican Republic,Ecuador,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,Paraguay,Peru,Puerto Rico,Uruguay,Venezuela,USA ,Denmark,Finland,Norway,Portugal,Spain,Sweden,"",""",https://hbogo.mk/,Movies & TV Shows,"popular series, hit movies, drama, crime, thriler, romance, horror, cartoons for adults and kids","Action, adventure, Drama, Comedy, Crime, Romance, Thriller, Horror, Science fiction, Fantasy, Family, Documentary, Musically, Cartoons",I have the location info,"Arabic, Brazilian, Portuguese, Bulgarian, Canadian French, Cantonese Chinese, Castilian Spanish, Catalan, Croatian, Czech, Danish, Dutch, English, Estonian, European French, European Portuguese, Finnish, Flemish, German, Greek, Hebrew, Hindi, Hungarian, Icelandic, Indonesian, Italian, Japanese, Kazakh, Korean, Latin American Spanish, Latvian, Lithuanian, Malaysian, Mandarin Chinese (China), Mandarin Chinese (Taiwan), Norwegian, Polish, Romanian, Russian, Serbian, Slovak, Slovene, Swedish, Thai, Turkish, Ukrainian, Vietnamese","tablets and phones, Xbox One and 360 game consoles, Smart TVs, computer, apple devices, Chromecast",sVOD,Cable or Satellite TV Subscription + $5–$20/month,"Home Box Office, Inc.",134 million (HBO),"New York, New York, United States",https://i.imgur.com/Try1Qa3.png
,Icflix,Pakistan,http://www.icflix.com/,Movies & TV Shows,"Jazwood (Arabic content), Bollywood and Hollywood movies and TV series","Blockbusters, Soap operas, Comedies, Documentaries & Cartoons ",I have the location info,"Arabic, English and French","tablets and phones, Xbox One and 360 game consoles, Smart TVs, computer,apple devices, Chromecast",sVOD,99 THB per month,Mark Britt,"15 million","Dubai Media City, Dubai, United Arab Emirates",https://i.imgur.com/myWfTu2.png
,Cellcom TV,Israel,https://cellcomtv.cellcom.co.il/,Movies & TV Shows,"israeli series, israel movies, infinity series, HBO series, amazon prime videos, cinema tv, netflix, sports world, children world, cartoons","Motion pictures, Sports, Documentaries, Nature, Aired this week, Talk shows, Israel series, Volium, HBO series, Netflix, Amazon Prime video, Cartioons, Reality shows, Turkish dramas, Comedy, Crime, Drama",I have the location info,"Israel, English","computer, smartphone, tablet, Smart TV",sVOD,249 shekels ($69) ,"DIC (41.77%), Public (58.23%)","137,000 subscribers","Netanya, Israel",-
,CraveTV,Canada,https://www.crave.ca/en,Movies & TV Shows,"HBO movies, showtime movies, starz movies, drama, comedy, romance, family, action, tv shows","Dramas, Music, Comedies, Sports, Documentaries, Food, Reality TV, Kids, Romance, Family, Action & Adventure, Horror",I have the location info,"English, French","iOS/iPadOS, Android and Android TV devices, Apple TV, Samsung Smart TVs, Xbox One, Amazon Fire TV, and Chromecast",sVOD,"traditional Crave - $9.99, Crave + Movies + HBO - $19.98.","Bell Media","2.3 million","Toronto, Ontario, Canada",-
,Iroko,"Angola,Benin,Botswana,Burkina Faso,Burundi,Cameroon,CAR,Chad,DR Congo,Rep Congo,Cote d'lvoire,Eq. Guinea,Ethiopia,Gabon,Gambia,Ghana,Guinea,Kenya,Liberia,Madagascar,Malawi,Mali,Mozambique,Namibia,Niger,Nigeria,Rwanda,Senegal,Sierra Leone,Tanzania,Togo,Uganda,Zambia,Zimbabwe",https://irokotv.com/,Movies & TV Shows,"best of Nollywood, blockbuster hits, african tv shows, african movies, african series","Action, Adventure, Biographical, Comedy, Crime, Dance, Documentary, Drama, Epic, Fantasy, Horror, Musical, Children, Road ",I have the location info,African,"iOS/iPadOS, Android and Android TV devices, Apple TV, Samsung Smart TVs, Xbox ",sVOD,"$2.99 a day in the United States, or $7.99 a month",iROKO Partners,one million subscribers,"Lagos, Lagos State, Nigeria",-
,Showmax,"Botswana,Burundi,Cameroon,CAR,Chad,DR Congo,Rep Congo,Eq. Guinea,Ethiopia,Gabon,Gambia,Ghana,Guinea,Kenya,Liberia,Madagascar,Malawi,Namibia,Rwanda,Senegal,South Africa,Tanzania,Uganda,Zambia,Zimbabwe",https://www.showmax.com,Movies & TV Shows,"drama, esports, popular movies, entertaiment, documentaries, kids programs, cartoons","Action & Adventure, Animation, Comedy, Crime, Documentary, Drama, Fantasy, History, Horror, Kids & Family, Music & Musical, Mystery & Thriller, Romance, Science-Fiction, Sport, War & Military, Western, Made in Europe",I have the location info,"English, Afrikaans, isiZulu, Sepedi, SeTswana, Sesotho, isiXhosa and Polish.","Personal Computers (using web browsers), Apple iPhones and iPads running iOS 9.3 or higher, Apple TV, Android phones and tablets running Android 4.1 or higher, Android media and TV devices running, Android 4.1 or higher, Samsung Smart TVs (2012 and later), Samsung Tizen Smart TVs (2015 and later), LG NetCast Smart TVs (2012 to 2014), LG WebOS Smart TVs (2014 and later), Hisense Vidaalite 2.0, Vidaa U2 Smart TVs (2016 and later, Africa only), DStv Explora (South Africa, Kenya, Nigeria only), Apple AirPlay, Google Cast (casting from the Showmax app for Android or iOS), Xbox One, PlayStation 4",sVOD,R99. 00 per month (VAT inclusive),MultiChoice Group,13.9 million,South Africa,https://i.imgur.com/CLpiXhg.png
,Foxtel Now,Australia,https://www.foxtel.com.au,Movies & TV Shows,"world's best movies, drama, entertainment, kids shows and Netflix","Entertainment, Drama, Lifestyle, Docos, Reality & Cartoons, Drama series, Talk, News, Nature",I have the location info,"English, ","tablets and phones, Xbox One and 360 game consoles, Smart TVs, computer, apple devices",sVOD,between $25 and $109 per month.,"News Corp Australia 65%, Telstra 35%","343,000 subscribers","Melbourne, Australia ",-
,Hotstar,India,https://www.hotstar.com/,Movies & TV Shows,"hbo movies, premium esports content, popular series, popular movies","Comedy, Action, Drama, Romance, Horror TV shows, kids TV, Crime, Sci-Fi, Sports, HBO series and movies",I have the location info,"Hindi, English, Tamil, Telugu, Malayalam, Kannada, Marathi, Bengali, Gujarati","tablets and phones, Xbox One and 360 game consoles, Smart TVs, computer, laptop, apple devices",sVOD,"Hotstar Premium Offer Rs 199/Month, Hotstar VIP Subscription Coupon Rs 365/Year",Star India (The Walt Disney Company India),"350 million+","Mumbai, Maharashtra",https://i.imgur.com/REMzLqL.png
,Tsutaya,Japan,https://tsutaya.tsite.jp/,Movies & TV Shows,"online games, popular movies, books, games, comics, music distribution, video distribution","Movie action, Overseas TV drama, Japanese movie TV drama, Western horror, Japanese Movie Horror / SF, Asian TV drama, Kids, Anime, Comedy, Sports, Movie drama, Movie SF, Japanese Movie Action, Japanese drama, Japanese movie special effects SF, HOBBY / Travel, Document / Other",I have the location info,"Japan, English, Chinese","tablets and phones, Xbox One and 360 game consoles, Smart TVs, computer, laptop, apple devices",sVOD,"Video unlimited & flat-rate rental 8 plan 2,417 yen (excluding tax) per month","Muneaki Masuda",-,Japan,-
,Neon,New Zealand,https://www.neontv.co.nz/,Movies & TV Shows,"HBO television shows, hbo series, hbo movies","Action, Animated, Comedy, Documentary, Drama, Fantasy & Adventure, Kids & Family, Sci-Fi, Thriller & Horror, Collections",I have the location info,English," computers, iPhones, iPads and televisions that supported AirPlay, Android smartphones and tablet computers, Samsung Smart TVs, Panasonic Smart TVs, Sony Android TVs, Freeview devices, PlayStation 4, Vodafone TV boxes, Chromecast devices, iOS devices and Apple TV via AirPlay, personal computers and MacBooks equipped with Adobe Flash Player, and selected ioS and Android phones and tablets",sVOD,"30-month free trial period, with normal subscriptions costing NZ$20 a month",Sky Network Television Limited,-,"Wellington, New Zealand",-
,Apple TV+,"Albania,Belarus,Bosnia,Bulgaria,Croatia,Cyprus,Czech Republic,Estonia,Greece,Hungary,Latvia,Lithuania,Macedonia,Moldova,Montenegro,Poland,Romania,Russia,Serbia,Slovakia,Slovenia,Ukraine,Canada,USA ,Austria,Belgium,Denmark,Finland,France,Germany,Iceland,Ireland,Italy,Luxembourg,Malta,Netherlands,Norway,Portugal,Spain,Sweden,Switzerland,UK",https://www.apple.com,Movies & TV Shows,"live tv, popular programs, best tv shows, blockbusters, popular series, arcade, cartoons","Comed, Drama, Sci-Fi & Fantasy, Sports",I have the location info,"English, Espanol, Dansk, Bahasa Indonesia, Cheshtina, Deutsch, French, Italiano, Magyar, Nederlands, Nederlands, Norsk Bokmal, Polski, Portugues, Romana, Suomi, Svenska, Tieng Viet, Turkish, Greek, Chineese, Japanese, Indian etc.","apple devices, smart TVs, Chromecast",sVOD,"$4,99 a month",Apple,34 Million Subscribers,"1 Apple Park Way Cupertino, California, United States",https://i.imgur.com/64NDxZ3.png
,Amediateka,"Belarus,Russia,Kazakhstan",https://www.amediateka.ru/,Movies & TV Shows,"hbo series, russian, series, russian movies, hbo movies, live tv, hbo programs, documentaries, dramas, cartoons, comedy, tv shows, 3d cartoons","Action, adventure, Drama, Comedy, Crime, Romance, Thriller, Horror, Science fiction, Fantasy, Family, Documentary, Musically, Cartoons",I have the location info,"English, Russian","tablets and phones, Xbox One and 360 game consoles, Smart TVs, computer, laptop, apple devices",sVOD,16 000 soums for 30 days,"HBO, CJSC Amedia",4.5 million registered users and 250 thousand paying subscribers,"st. Novoostapovskaya , d. 5, p. 3, Russia ; Moscow",https://i.imgur.com/LOGBSb4.png
,Globo Play,Brazil,https://globoplay.globo.com/,Movies & TV Shows,"telenovelas, medical drama television series, reality television shows, soap operas, popular cartoons, humor, documentaries, sports, local programs, journalism","Telenovelas, Comedy, Cartoons, Crime, News, Talk, Cartoons, Soap Operas, Documentaries, Humor, Children, Music, Reality shows, Sports",I have the location info,"English, Portuguese","computer, laptop, smart TVs, tablets and smartphones, apple devices",sVOD,US$13.99 (R$56) per month,"Grupo Globo",15 milion users,"Rio de Janeiro, Brazil",https://i.imgur.com/54YraPR.png
